Sentence,Sentiment
nflx i say it time to short at this point,negative
the firm generat sale of mln eur in,neutral
after buy eukor car carrier percent stake grimaldi group is now the sole owner of the swedish roll-on roll-off port of wallhamn,neutral
septemb - finnish stationeri and gift retail tiimari hel tiiv said today it net sale rose by year-on-year to eur m in august driven by growth in finland while demand in the baltic remain weak,positive
the compani slip to an oper loss of eur million from a profit of eur million,negative
the copi republ or redistribut of afx news content inculd by frame or similar mean is expressli prohibit without the prior written consent of afx news,neutral
oper profit total eur mn or of net sale,neutral
marathon estim the valu of it remain stake in protalix at million,neutral
sale at the tiimari busi went down by to eur million while gallerix store saw growth to eur million,negative
press serco set to appoint roy gardner ex-centrica as chairman - ft,positive
risk exposur by non-lif insur move -month expens by function in non-lif insur exclud expens for invest manag and expens for other servic render non-lif insur invest portfolio by alloc,neutral
gld on closer inspect resist point north at d and downward trendlin chart of,negative
finnish kemira s net sale eur decreas to eur mn in january-jun from eur mn in january-jun,negative
if honkarakenn start product there it will need a partner for sawmil oper,neutral
no compens for it news opinion or distribut,neutral
vrtx vertex month -lower hilow lo long term uptrend intract so far,positive
updat -nomura rbs must pay mln in mortgag bond case-us judg,negative
the outsourc scan and captur solut transfer paper invoic into electron format and baswar busi transact servic allow the custom to receiv and send invoic in an electron format,neutral
the order was worth eur mn,neutral
a spokesman said the food store center subject to council and local support could compris a supermarket or smaller store and other nich outlet and this will be firm up follow consult with the council and local communiti regard appropri use and occupi,neutral
by cut the number of plant the group will trim fix cost,positive
london stock exchang â€“ deutsch boers merger under threat from brexit,negative
with this acquisit the wireless modem unit and it approxim employe were transfer to renesa electron corpor,neutral
establish in the srv group is a privat finnish construct concern with oper in finland the baltic countri and russia,neutral
oper result exclud one-off item total eur mn compar to eur mn in continu oper exclud one-off item in,negative
traceyryniec not just energi it so broad you will see it in wwg and kaman as well id be short fast,negative
earn per share ep in the first half of amount to eur down from eur year ago,negative
gps gap septemb compar store sale -,negative
earn per share were higher at against a year befor and ahead of market consensus of eur,positive
eu drop shell bp statoil from ethanol benchmark investig,positive
the contract compris a log handl line a peel line and a veneer dri and grade line,neutral
accord to arokarhu some of the purchas that had been scan into the cash regist comput disappear when the total sum key was press,negative
the compani s board of director would propos a dividend of eur per share for,neutral
accord to statist by the finnish maritim administr ship did not increas much in january-august howev,neutral
london afx - fortum said it has agre to sell it industri mainten servic oper to fund manag by capman for an undisclos sum,neutral
mani of the commerci vessel had got stuck in the narrow bay of bothnia where the ice is thicker and around the aaland island,neutral
this is the first time finnair has been award an agreement with the uk govern,positive
citigroup inc nyse c deutsch bank nyse db and pohjola bank are lead manag for the sale,neutral
in the baltic countri sale fell by and in russia by in term of euro and by in term of local currenc,negative
oper loss land at eurm includ one-off and at eurm exclud one-off,neutral
compass group say posit for year ahead,positive
the compani is now withdraw the second part eur mn of the invest commit,neutral
commiss incom rose by to eur mn from eur mn in,positive
cramo headquart in vantaa finland rent construct machineri and equip as well as rent and sell modular space,neutral
net sale of kyro s main busi area glaston technolog a manufactur of glass process machin decreas to eur mn from eur mn in january-septemb,negative
fda approv astrazeneca drug for advanc lung cancer,positive
passeng rise at easyjet and aer lingus,positive
the program s target is structur cost reduct of about eur mn in,positive
finnish forest industri group stora enso oyj issu on thursday march a profit warn for the first quarter,negative
veri recommend is the nokian z g accord to the adac judgement in the latest summer tyre test of the german automobil associ adac,positive
fortum need a clear signal of commit from the govern that the permit is avail befor the compani will start the next round kuula say,neutral
ih in a move to enhanc growth,positive
it other well-known brand includ fit equip maker precor and us - base ball sport equip maker wilson,neutral
arm royalti acceler as smartphon market regain strength,positive
breakingview iag can pay more for aer lingus,positive
net sale fell by from the third quarter of to eur mn,negative
aapl take out the short here a punish remind not to spear the strongest in the herd,positive
finland-bas intern machineri rental compani ramir plc omx helsinki rmrv said on friday may that it presid and ceo kari kallio has inform the board of his intent to retir in year,neutral
as a result of the merger the largest profession electron and telecommun technolog contract manufactur center in finland will be form in sievi,neutral
the net sale of the whole fiscal year will be lower than in and oper profit is estim to be negat,neutral
there did not seem to be enough hour in a day for pekkarinen,neutral
among the biggest christma seller were a satin bow shift dress style on outfit worn by victoria beckham and a pari hilton prom dress,neutral
finlan s list food industri compani hkscan group control compani in the baltic improv revenu by eur mn to eur mn in from eur mn in the year befor,positive
most of the increas in net sale was due to the acquisit of swedish silva that produc garden tool and boat,positive
the web-marela applic handl invit to quot quot comparison agreement purchas invoic inspect inventori manag and deliveri,neutral
tesco set to sell kipa giraff busi - sky news,negative
tesco share price steadi as analyst weigh in on result,neutral
finnish laboratori liquid handl and diagnost test system develop biohit oyj omx helsinki biobv issu on tuesday june a profit warn for the financi year,negative
singapor ici -- kemira and indian water infrastructur firm ivrcl have agre to form a join ventur which includ a new inorgan coagul manufactur facil in andhra pradesh state india the finnish water treatment chemic maker said on tuesday,positive
the compani report today an oper loss of eur m on net sale of eur m for the first quarter,negative
travi perkin hike dividend as profit and revenu rise,positive
tesco sale recov as focus return to core busi,positive
componenta has product line for similar-s product at karkkila in finland at weert in the netherland and at orhangazi in turkey and these had a combin output of approxim tonn and net sale of eur million in,neutral
glencor cut budget plan to divest from lonmin,negative
pge belchatow run the gw belchatow coal-fir power plant and fortum has intent to start a ccs demonstr project joint with teollisuuden voima oyj tvo - anoth finnish util - at the their joint own mw meri-pori coal-fir facil,neutral
tesco abandon video-stream ambit in blinkbox sale,negative
the amend of the propos simplifi the propos plan and increas the incent for key employe to stay in the compani,positive
earn per share ep amount to eur up from the loss of eur,positive
net sale surg by to eur m telest said that eur m or of the sale came from the acquisit made in,positive
the number of bodili injuri case quadrupl in -,negative
tsla bad day to short,positive
when this inform was releas on septemb nokia s american depositari share fell by,negative
upon complet of the deal panostaja will establish a new busi area within the group to focus on heat treatment of metal,neutral
it generat an oper loss of eur mn down from a profit of eur mn,negative
stora is due to releas it fourth-quart and full-year earn on feb,neutral
the valu of the order is near eurm,neutral
hlf short made a kill last coupl day might make more if cover and buy back,negative
in total more than surveil camera will be handl and manag accord to a varieti of need the compani said,neutral
therefor the compani s result will remain weaker than that of,negative
companiesab inbev signal it wont go hostil for sabmil,positive
the loss for the third quarter of was eur mn smaller than the loss of the second quarter of,positive
net profit in the same period in was million euro,neutral
these financ arrang will enabl the compani to ensur in line with it treasuri polici that it has suffici financi instrument at it dispos for it potenti capit requir,positive
the reduct will be implement main in the cours of the first half of,neutral
tsla look goodid love to see a base action here let the rsi take a breather,positive
the divest of raisio s margarin busi in may gave the compani a clearer focus on grain-bas product,positive
the measur taken will caus one-tim cost dure the final part of,neutral
we respect their decis the discuss are now close said kai telann alma media s ceo,neutral
base on negoti with personnel some have indic their willing to move to the new locat,neutral
aapl want lower up wave get smaller on the min,negative
tesla model x recal add to reliabl issu tsla,negative
zagg get readytarget plus on a close over on better than avg daili volum,positive
the compani is studi the feasibl of focus most of it process meat product in the vantaa facil and the process of fresh meat in the forssa facil,neutral
berkshir seek to boost it well fargo stake abov percent,positive
kirsi rantanen was previous develop director for hk ruokatalo s poultri busi,neutral
march a leakag in the gypsum pond was detect today at the talvivaara mine,negative
kone share drop percent to xac us in helsinki,negative
the contract of the employe of whom are blue-collar worker will be end between march and august,neutral
construct is schedul to start in april-jun and to be complet in earli,neutral
barclay poach new chief oper offic paul compton from jp morgan chase,neutral
befor kemira s instal nordalu was produc ton of liquid and solid aluminum wast per year,neutral
potenti defect with third-row seat belt tesla motor recal model x suv tsla,negative
srv will also build an aqua park with well area a restaur and a multifunct ice arena,neutral
adjust to the fall in price level in contrast has been less effect,negative
the fair valu of the compani s invest properti went down to eur billion at the end of from eur billion a year earlier,negative
in juli it and quadriga capit sold their lewa gmbh pump-mak busi to japan s nikkiso co,neutral
finnish it solut provid affecto oyj hel afev said today it slip to a net loss of eur usd in the second quarter of from a profit of eur in the correspond period a year earlier,negative
london marketwatch -- share price end lower in london monday as a rebound in bank stock fail to offset broader weak for the ftse,negative
the firm generat sale of mln eur in,neutral
as a result peopl will be made redund and a total of person are laid off temporarili,negative
buffett compani report percent drop in q earn,negative
slv - at now aw down from,negative
finnish steel maker rautaruukki oyj hel rtrks or ruukki said today it net loss contract to eur million usd m for the first nine month of from eur million for the same period a year ago,positive
telecom has a foreign invest limit of but it appear that mobil vas doe not which mean that tecnomen can pick up as much as,neutral
royal mail chairman donald brydon set to step down,negative
bullya pollux my kor call are go to b a bless for my daughter tuition!,positive
accord to seikku the retail sector in finland is control by - larg actor while food manufactur are still relat small,neutral
gypsii servic support ten differ languag includ korean and russian,neutral
aapl near a drop that a lot now the best i can do is hold er lol,negative
the boe compani nyseba bearish trader bet k that stock will sell off by juli expiri ba,negative
pivot research upgrad googl to buy stocktrad,positive
thank to the internet consum compar product more than previous and finnish compani are not competit,negative
oper profit rose to mln eur from mln,positive
becaus we re a pension insur compani we re requir to diversifi and not put too much in one asset class,neutral
finnish ship compani finnlin pretax loss total eur mn in the third quarter of compar to a profit of eur mn in the third quarter of,negative
as a result the compani will temporarili lay-off of the whole personnel approxim person at kirkkonummi and nivala factori,negative
finnish laboratori liquid handl and diagnost test system develop biohit oyj omx helsinki biobv issu on tuesday june a profit warn for the financi year,negative
in addit to the demand in finland the export of line stone product also increas,positive
the new polici was also aim at make the compani more profit and competit,positive
key price to watch in nflx off the previous doubl top reject,negative
return on capit employ roce was a negat compar to in,negative
through the new product line at the novat mill in veliki ustjug vologda oblast sveza will chang it current m by m birch plywood product target the domest market to produc m by m overlaid birch plywood for the global market,neutral
the repo rate will gradual reach at the end of accord to nordea s econom outlook,neutral
accord to heikkilñ more than just refresh and energi will soon be found in soft drink also in finland,neutral
growth was strongest in f-secur s oper isp mobil oper and cabl oper busi,positive
oper cash flow after invest total eur mn compar to eur mn in the correspond period in,neutral
the cooper will involv arena partner buy a share of the new joint ventur compani oper in alma media s home sale vehicl and consum advertis marketplac busi,neutral
amrn you can mani time find top and bottom when short start rejoic or bull start rejoic current it is the short rejoic,negative
howev sale volum in the food industri are expect to remain at relat good level in finland and in scandinavia atria said,positive
oper profit for continu oper fell to eur mn from eur mn in the first half of,negative
profit befor tax was eur mn down from eur mn,negative
scanfil a system supplier and contract manufactur to the communic sector will start personnel negoti in oulu in finland to lay off staff temporarili,negative
with this appoint kaupth bank aim to further co-ordin capit market activ within the group and to improv the overal servic to client,positive
that bearish outsid day tuesday is signific day resist still intact just my opinion sds,negative
lulu outlook q lost revenu in the rang of million to million -not good,negative
konecran has previous communic an estim reduct of about employe on group level in,negative
valeant said to name new ceo with pearson still hospit,neutral
scopi chief busi excel offic eng,neutral
the announc push freenet share down or eur in frankfurt trade to eur as investor gave up hope unit internet ag and drillisch would pursu their own takeov and breakup of freenet,negative
there will be return flight from stuttgart everi morn as well as even departur on thursday friday and sunday,neutral
frost sold share for million at - per share compar with friday s high of and low of,negative
tesco share price down as grocer face sfo investig outcom,negative
the govern has had a veri profession approach in assess the offer,positive
vnh generat annual net sale of about mln eur and employ peopl,neutral
in kemira record revenu of approxim eur billion and had a staff of,neutral
glencor cut budget plan to divest from lonmin,negative
ftse drop pct on glencor metal price fear,negative
lt also acquir a pct stake in local sector compani salvor oy at the begin of septemb,neutral
x mark the recal tesla recal modelx for faulti rd row seat tsla,negative
the deal strengthen ramir s posit especi in the industri sector and in larg invest project,positive
oper profit rose to eur mn from eur mn in the correspond period in,positive
sale boost for new morrison chief david pott as tesco turnaround stall,negative
they are also upset that some of the machineri and work is taken over to poland,negative
at some point in all separ compani name such as palmberg tekmanni lemcon forssan betoni suonenjoen betonituot among other will disappear,neutral
qualcomm estim a first-quart profit between and cent a share exclud certain item below the analyst estim of cent a share,negative
we are delight to welcom elisa to our board of director said garri mcguir ceo of rmg network,positive
at the same time the market for autom liquid handl devic is alreadi larger than that for pipett accord to biohit,neutral
finnish kci konecran has been award an order for four hot metal ladl crane by indian steel produc bhushan steel strip to be deliv in,positive
ssys just re-test low should rise steadili from here it hit just trade day ago and on sept itll do it again,positive
oper margin howev slip to from drag down by a poor perform in enterpris solut,negative
accord to finnish insur compani tapiola local insur group lñhivakuutus and pohjola the two fierc storm at the end of juli and in the begin of august that fell tree around finland have speed up sale of forest insur,positive
pretax loss total eur mn compar to a loss of eur mn in the correspond period in,negative
ssh communic secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,negative
finnish scanfil a system supplier and contract manufactur to the communic sector and the electron industri report it net sale total eur mn in the first half of down from eur mn in the first half of,negative
outotec is current deliv a new oil shale process plant for eesti energia in estonia base on enefit technolog which has been develop joint by eesti energia and outotec,neutral
the order compris four ball mill which will be organ in two differ stream for treat ore in the pilanesberg platinum mine,neutral
the intent of the articl was to focus attent on the fact that the develop model that china had follow was veri differ than the model that india had follow,neutral
after the split the number of k share will be and the number of a share,neutral
onc your plant are in the ground they will continu to grow but the success of ani garden lie in how well it s maintain,neutral
oper loss total eur mn compar to a profit of eur mn in the second quarter of,negative
the combin valu of the order is eur mn,neutral
reed elsevi share price slide on underwhelm full-year result,negative
the redesign crush circuit has been in oper sinc the start of septemb and it overal product rate on a week basi is in excess of an averag of tonn a day,neutral
pretax loss total eur mn compar to a loss of eur mn in the correspond period,negative
los angeles-bas pacif offic properti trust acquir own and oper offic properti in the western us focus initi on the market of honolulu san diego los angel and phoenix,neutral
pharmaceut market in belgium global research data servic publish recent a market analysi about the pharmaceut market in belgium,neutral
efor s presenc here also open up new and interest develop opportun for our student the dean of the faculti of electron communic and autom at tkk said,positive
wñrtsilñ s solut has been select for it low fuel consumpt environment sound technolog and global servic support,positive
tyrvaan sanomat publish twice a week by tyrvaan sanomat oy appear in sastamala and kiikoinen,neutral
micron share pound on fear of loss of busi from appl stifel defend aapl mu marjo,negative
niam offer financi investor a high return via invest in fund that in turn invest in all type of properti,neutral
becaus the applic can be consid as a hack applic it is classifi by f-secur as riskwar,neutral
morrison financ chief to fill gap as ceo leav earli,negative
in addit a further employe can be laid off until further notic and the whole workforc can be laid off for short period if need,negative
in january-septemb fiskar net profit went up by year-on-year to eur million and net sale to eur million from eur million,positive
netflix grow effort to creat loyal custom nflx,positive
i am veri pleas and proud of our perform last year chief execut juha rantanen said in a statement,positive
estonian telecom compani elisa s custom number cross tallinn oct bns - the estonian telecommun compani elisa won approxim new client in the nine month of this year bring the number to by the end of septemb the compani said,positive
southfield mich -- central corpor credit union will again distribut patronag dividend to member by waiv all servic fee incur dure the month of juli and novemb to the tune of an estim million,positive
metso estim the need for personnel reduct to amount to peopl,negative
companiesab inbev signal it wont go hostil for sabmil,positive
oper loss amount to eur mn in the first half of compar to a profit of eur mn in the first half of,neutral
seven-month sale of raguti which is control by the finnish breweri olvi declin by percent to million liter and the compani held percent of the market,negative
nflx easi pop to by end of feb then steadi as she goe for into second earn report year end no matter what,positive
profit for the period was eur mn up from eur mn,positive
loss for the period total eur mn compar to a profit of eur mn in,neutral
cencorp s net sale in the first quarter is estim to be eur- m as compar to eur m in the first quarter,negative
pretax loss total eur mn compar to a loss of eur mn in the correspond period,neutral
as a result the compani has decid it will implement fixed-term temporari lay-off,negative
upm-kymmen has generat four consecut quarter of posit free cash flow,positive
septemb - finnish stationeri and gift retail tiimari hel tiiv said today it net sale rose by year-on-year to eur m in august driven by growth in finland while demand in the baltic remain weak,positive
the ep improv to eur from eur,positive
in ukrain too we act as a partner for major bakeri client in both product and product develop,neutral
it now own share in amer sport corpor equal of the compani s share capit and vote right,neutral
insur old mutual pick standard bank hemphil as new ceo,neutral
the trend in the sport and leisur market was favor in the first month of the year,positive
tsla i see more downsid in next two week be care - dollar drop potenti vs up move,negative
the final outcom of the right offer is to be report around octob,neutral
compass group say posit for year ahead,positive
the valu of the order is usd mn,neutral
dlerch lol! fmcn back under darn those shorts! no chit sherlock!,negative
tecnomen s system featur a new rang of value-ad servic for prepaid and post-paid bill charg and rate of voic call data traffic or ani kind of content servic in both mobil and fix network,neutral
in finland finnish pharmaceut compani orion corpor omx helsinki ornav said on wednesday januari that it has conclud it personnel negoti in finland and will reduc the number of personnel by,negative
ssh communic secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,neutral
dealer said the share was larg hit by investor disappoint about a refin margin of just usd per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln eur from mln eur a year amid a fall in volum and tanker rate,negative
to our member and partner the use of it will most be appar in the increas effici of the result servic observ perttu puro from tradeka,positive
oper profit rose to eur mn from eur in the correspond period in,positive
repeat see oper profit down y-i report by helsinki newsroom keyword tecnomen-result,negative
expect spi to close abov aapl,positive
pm central offic of nordea bank -ya ulitsa yamskogo polya build telephon -- ext unimilk - egm - xvi intern business-summit food busi russia will take place,neutral
oper profit of the asian plant grew mark,positive
oper profit was eur mn up from eur mn,positive
shire ceo step up drive to get baxalta board talk,positive
in finland snow storm brought tree down on power line cut off electr for some household,negative
finnish lt recoil a compani specialis in use oil regener is build a facil in hamina in finland in,neutral
rt jan arna dont think buyout rumor strong enough too be drive this up just yetwhen it is this may fli like aapl fli how high,neutral
micron technolog inc nasdaq mu down today and down sinc be put on the short,negative
intertek swing to â£ mln loss on oil slump,negative
under the agreement pfizer has been fund bioti s research activ on the pde phosphodiesteras inhibitor program sinc it start in late and has the sole author to develop discov compound,neutral
the emerg market that raisio has chosen to enter so far are mark by relat low per capita food consumpt,neutral
at pm the omx helsinki index was pct lower at,negative
fb aapl nke jwn bearish chart keep get wors,negative
ebit total eur mn compar to a loss of eur mn in the correspond period in,positive
accord to atria s presid and ceo matti tikkakoski the compani s swedish oper signific improv in the first quarter,positive
the bristol port compani has seal a one million pound contract with cooper specialis handl to suppli it with four -tonn customis reach stacker from konecran,positive
nevertheless it market share rose to percent from percent a year earlier,positive
as a condit to the deal savcor alfa has to have bought photonium and aks lahtinen inc s busi oper prior to the deal,neutral
swiss bank credit suiss intern will act as an investor in the locomot manufactur plant the astana administr said,neutral
tzoo a close abov and we are readi to rock and roll,positive
just went long ilmn,positive
in a media advisori the ntsb said that after subsequ test the train detect system intermitt fail,neutral
tsla upgrad to buy argus w pt - youd almost think after pt run in week this would be the sell signal,positive
accord to pietinalho doctor should motiv their patient who smoke everi time they visit their doctor,neutral
custom wave card in front of the reader to make payment similar to touch and go card use in transport system,neutral
the final outcom of the right offer is to be report around octob,neutral
refile-aviva investor to move bln euro in asset from axa fund arm,negative
signific telest has emphasis that with it larg size and grow economi as well as the rapid develop of it tv servic distribut industri poland is view as an attract market,positive
in comptel slip to a net loss of eur m from a profit of eur m in the previous year,neutral
long aapl,positive
hearst will be abl to consolid about of all russian market for advertis in press after the purchas,positive
upm-kymmen said it has not indic ani interest in ani domest consolid,neutral
oper loss total eur mn compar to a profit of eur mn,neutral
all amer sport compani develop and manufactur technic advanc product that improv the perform of activ sport particip,neutral
the liquid provid was interrupt on may when aspocomp group oyj s share trade below cent aspocomp s stock exchang releas,negative
paper compani m-real calcul that if biscuit carton are made use a gsm lighter board the co save over the cours of month would be equal to that generat by drive km by car,neutral
sale improv to sek mn compar with sek mn,positive
the cost of the deal could rang from million to million euro depend on the financi result of the two compani in the statement say,neutral
goodwin not to face scottish prosecut over rbs,positive
ms laakso will be respons for hkscan s hr function and for their develop in all of the group smarket area,neutral
accord to chairman michael hornborg the organ has mere criticis raisio s weak perform,neutral
amazon declar best ever black friday and cyber monday for kindl famili via engadget amzn,positive
tesco sell blinkbox and broadband servic to talktalk,positive
finnish steel maker rautaruukki oyj hel rtrks or ruukki said today it net loss contract to eur million usd m for the first nine month of from eur million for the same period a year ago,positive
tsla on fire what is that up day in a row someon neeeeds!! in,positive
the compani distribut hiab s product as well as other product,neutral
tripadvisor jump on ma rumor trip,positive
is troubl brew at legal general group plc and aviva plc,negative
the compani close last year with a turnov of about four million euro,neutral
aapl broke descend channelwil it hold,neutral
furthermor bung will also sign a licens agreement for the sunnuntai and carlshamn mejeri brand,positive
nokia control more than percent of phone sale in india and africa and has a strong prosit on most other emerg market,positive
tekla s defens busi employ over person and is locat in espoo finland,neutral
sinc the associ s data do not cover sale figur from about small local breweri and sale of import beer product the actual market share of it member are smaller than those given in the report,negative
tesla recal model x unit relat to faulti latch for third-row seat fall to level on recal share up tsla,negative
as a result of the cancel the maximum increas of citycon s share capit on the basi of the convert bond decreas from eur to eur,neutral
more than a third of the origin particip drop out due to nausea and other side effect,neutral
royal mail breach competit law over deliveri servic chang ofcom claim,negative
the compani s profit total ls,neutral
pharmaceut market in belgium global research data servic publish recent a market analysi about the pharmaceut market in belgium,neutral
hpq say breakup will cost billion but see save too,negative
user on vetr are bearish on tesla motor inc indic a sell rate star for tsla,negative
in the group s net sale stood at eur million and it had about employe at the end of june,neutral
scottrad whi is tsla not avail for short at this time same for w,negative
the airlin s share price close down slight at xac us in helsinki,negative
capman the stockholm-headquart privat equiti firm has held a first close on it second privat equiti real estat fund as it continu it push into the properti sector,neutral
watch these bancostheyr hold up relat well compar to the broad market xlf bac gs c --larg c buy in bac in backburn,positive
march - finnish electron contract manufactur scanfil oyj hel scfv said today it plan to merg wholli own scanfil em group with ojala-yhtyma oy has hit a snag as sharehold of the domest rival reject the deal,negative
ad more bbbi jimcram is wrong about this one still a veri profit merchant with profit store,positive
helsinki thomson financi - share close littl chang with cargotec and huhtamaki drop sharpli on disappoint second-quart report,negative
awr standard poor affirm a credit rate at american state water compani and golden state water compani,positive
net sale drop by year-on-year to eur million,negative
the write and public of lemminkñinen -¦ s histori is a continu of earlier collabor between antti tuuri and the compani,neutral
pcln back over up trendlin from,positive
oper profit was eur - mn down from eur mn,negative
easyjet expect resili demand to withstand secur fear,positive
among other industri stock metso ad pct to eur wartsila b was down pct at eur and rautaruukki k was pct lower at eur,neutral
- the group -¦ s result befor tax was a loss of eur million,neutral
yhoo fishi action new parti interest dailymail bounc retreat not short by ani mean but action question big up move thought,neutral
finnish secur and privaci softwar solut develop stonesoft oyj said on januari that the preliminari sale of it stoneg product grew by pct year-on-year to mln euro mln for the fourth quarter of,positive
rt andrewnyquist chartolog yahoo yhoo crazi look chart but near breakout resist line,positive
accord to the ceo of nordea bank estonia vahur kraft nordea finland and stockmann have been cooper for more than ten year,positive
crk time to accumul for a long posit with far more upsid than downsid,positive
finnish forest industri group stora enso oyj issu on thursday march a profit warn for the first quarter,neutral
smh got a sell signal on and need to take out to go higher otherwis head lower than gap below at,negative
in this case the effect would be negat in finland,negative
about of this came from aspo chemic from aspo ship and from aspo system,neutral
within the framework of the partnership nokia siemen network has sign an initi framework purchas agreement with sitron subsidiari jsc mikron which is the largest manufactur and export of microelectron compon in russia,positive
csx is up today to report wall street is expect ep to be at and revenu at b,positive
acad under today,negative
stock exchang releas sanoma has publish it annual report and financi statement for and it first corpor respons report,neutral
louiebeen vwap is held the trend line should be on a lot of radar navb,positive
finnish vaahto group that provid paper-mak technolog and process machineri is start negoti concern the temporari lay-off of all employe at the compani s plant in hollola and tamper in finland,negative
marathon estim the valu of it remain stake in protalix at million,neutral
fiskar is also engag in the global suppli of marin and energi equip solut and servic through it associ compani wartsila corpor,neutral
royal dutch shell profit rise dividend up,positive
the finnish compani previous said it oper result will be lower than the break-even post a year earlier,negative
finnish forest machineri manufactur ponss has issu a profit warn,negative
absolut bank is explor the possibl of further borrow,neutral
spi long posit,positive
raguti which is base in lithuania s second-largest citi kauna boost it sale last year per cent to million liter,positive
load spi and aapl put think were toppi imho,negative
oper profit total eur mn down from eur mn in the correspond period in,negative
finnish exel composit a technolog compani that design manufactur and market composit profil and tube for various industri applic report it net sale decreas by in the second quarter of to eur mn from eur mn in the correspond period in,negative
net sale went up by year-on-year to eur million affect by the busi acquisit realiz dure the previous financi period the effect of which was eur million on the review period,positive
oper profit total eur mn down from eur mn in the correspond period in,neutral
credit suiss poach prudenti thiam for asian push,positive
temporari lay-off affect the entir workforc will also be implement,negative
the reason for this is st petersburg status as a capit one of the particip in the meet quot chikunov as say,neutral
oper profit exclud non-recur item total eur mn compar to eur mn in the correspond period in,neutral
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,negative
spi bull move end wait for next setup,negative
glencor cut budget plan to divest from lonmin,negative
the pilot project prove that rifd technolog is ideal for our purpos comment olli saarinen materi handl supervisor at yara,positive
no financi inform was provid,neutral
eu regul clear billion-plus ab inbev sabmil deal,positive
fda approv astrazeneca iressa as lung cancer treatment,positive
meanwhil minor sharehold expect teliasonera to retain the bid sell share now,neutral
finnish forest machineri and equip maker ponss oyj said on octob it will deliv a total of cut-to-length method forest machin and harvest head to brazilian paper maker bahia pulp and to unnam uruguayan wood harvest contractor,positive
also construct expens have gone up in russia,negative
the divest stake repres about m share in okmet s capit,neutral
tornio work employ of whom more than have been in the scope of the fixed-period or part-tim temporari layoff in april-octob period,neutral
finnish suominen corpor that make wipe nonwoven and flexibl packag expect chang in the market situat to reduc sale of suominen s nonwoven and wet wipe from the previous estim volum,neutral
other north-rhin westphalia - is to issu a benchmark year fix rate deal in euro,neutral
both compani exist invest plan will be coordin,neutral
microsoft also churn up it courtship agre to use the navteq map servic which is offer by a compani nokia bought for billion a few year ago,positive
finnish electron contract manufactur scanfil had net sale of eur mn in the first quarter of down from eur mn a year befor,negative
standard charter not rais capit yet as dividend cut,negative
finnish softwar and hardwar develop elektrobit oyj hel ebgv or eb said today it will temporarili lay off up to peopl for a maximum of day in finland aim to achiev cost save of eur million usd m in the second half of,negative
companiesunilev sale lift by ice cream in soft economi,positive
updat -nomura rbs must pay mln in mortgag bond case-us judg,negative
deliveri of nokia nokia and nokia are expect to start in the second quarter of,neutral
the chang will take effect on januari and they are not estim to have an impact on the number of employe,neutral
johnson matthey rev up on clean air drive,positive
aviva weigh cash handout after beat profit forecast,positive
in stead of be base on a soft drink as is usual the teho energi drink is made with fresh water,neutral
tallink silja attribut the signific drop to problem with the book system that was taken into oper in octob the sale of trailer ferri sky wind and the rout between stockholm and riga which has won passeng from the helsinki-stockholm rout,neutral
tullow oil suspend dividend amid oil price fall,negative
the compani confirm it estim for lower revenu for the whole than the year-ago eur million usd m as given in the interim report on august,negative
accord to swedish author trace of the veri toxic osmium tetroxid have been found on the coast of perñmeri the northernmost part of the gulf of bothnia,negative
this order is includ in wartsila s order book in the second quarter the compani ad,neutral
for q consolid earn befor tax total eur m compar to eur m and net profit was eur m compar to eur m in the previous year,positive
the plan is estim to generat some eur million usd m in cost save on an annual basi,positive
europ howev remain an import and strong market for us,neutral
return on invest roi was compar to in the first half of,negative
kndi china electriccar maker china car sale also may feed off tsla momentum run late,positive
the categori was mark by matur and the recess,neutral
md hen bahr of stockmann gruppen prais the trend sinc the chain becom stronger and their decision-mak process more clear,positive
rimm spx nya compq djia all go down,negative
i am not optimist about amzn both fundement and chart look like poopoo this quarter,negative
profit take on aapl this morn that has to be the pressur on the stock im still bullish on aapl,positive
companieshom retail trim gain but is consid in play,positive
paper maker stora enso oyj said friday it has been acquit of charg that it particip in a paper price-fix conspiraci in the unit state,positive
ism doe not disclos it financi result the daili said,neutral
ino up up and away!,positive
uk ftse has worst day so far in as bg and prudenti fall,negative
british american tobacco first-half sale hurt by currenc move,negative
accord to swedish author trace of the veri toxic osmium tetroxid have been found on the coast of perñmeri the northernmost part of the gulf of bothnia,negative
scanfil has also issu a profit warn,negative
the money will be spent on strengthen the compani s competit in the sphere of sawmil product and increas the volum of wood deliv for process in russia the releas say,positive
it is expect to be onlin by,neutral
nokia bought chicago-bas navteq in acquir a map databas to compet with googl s map as well as with navig devic compani such as tomtom nv and garmin ltd,positive
glencor slump percent as debt fear grow,negative
okmet has a global custom base and sale network product plant in finland and the us and contract manufactur in japan and china,neutral
pharmaceut group orion corp report a fall in it third-quart earn that were hit by larger expenditur on rd and market,neutral
consist of seven interconnect unit mega imag s logist center will be metr in length and metr in height,neutral
the omx helsinki end pct lower at and the omx helsinki was down pct at on bln eur turnov,negative
